sample_id,conc (ng/ul),callset_order,sequencing_date,sampleset_id,fastq_1_path,fastq_2_path,bam_path,vcf_path,legacy_id,country,location,admin1_name,latitude,longitude,sequencing_qc_pass,data_qc_pass,analysis_pop,pop_code,SuperPopulation,collection_method,collection_date,reference,note
AfNG1,10.9,10,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNG1/AfNG1_EKDN230047597-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNG1/AfNG1_EKDN230047597-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNG1_EKDN230047597-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNG1_EKDN230047597-1A_22FNL2LT3_L7.g.vcf.gz,AfNG1,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNG8,2.6,11,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNG8/AfNG8_EKDN230047611-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNG8/AfNG8_EKDN230047611-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNG8_EKDN230047611-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNG8_EKDN230047611-1A_22FNL2LT3_L7.g.vcf.gz,AfNG8,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNH7,3.3,12,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNH7/AfNH7_EKDN230047609-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNH7/AfNH7_EKDN230047609-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNH7_EKDN230047609-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNH7_EKDN230047609-1A_22FNL2LT3_L7.g.vcf.gz,AfNH7,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNH8,2.4,13,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNH8/AfNH8_EKDN230047612-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNH8/AfNH8_EKDN230047612-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNH8_EKDN230047612-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNH8_EKDN230047612-1A_22FNL2LT3_L7.g.vcf.gz,AfNH8,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfkB9,3.8,14,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkB9/AfkB9_EKDN230047591-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkB9/AfkB9_EKDN230047591-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfkB9_EKDN230047591-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfkB9_EKDN230047591-1A_22FNL2LT3_L7.g.vcf.gz,AfkB9_EKDN230047591-1A_22FNL2LT3_L7,Afghanistan,Kunar,Kunar,34.8466,71.0973,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfkC4,4.2,15,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkC4/AfkC4_EKDN230047580-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkC4/AfkC4_EKDN230047580-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfkC4_EKDN230047580-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfkC4_EKDN230047580-1A_22FNL2LT3_L7.g.vcf.gz,AfkC4_EKDN230047580-1A_22FNL2LT3_L7,Afghanistan,Kunar,Kunar,34.8466,71.0973,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfkC5,4.1,16,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkC5/AfkC5_EKDN230047586-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkC5/AfkC5_EKDN230047586-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfkC5_EKDN230047586-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfkC5_EKDN230047586-1A_22FNL2LT3_L7.g.vcf.gz,AfkC5_EKDN230047586-1A_22FNL2LT3_L7,Afghanistan,Kunar,Kunar,34.8466,71.0973,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfkE3,3.7,17,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkE3/AfkE3_EKDN230047577-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkE3/AfkE3_EKDN230047577-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfkE3_EKDN230047577-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfkE3_EKDN230047577-1A_22FNL2LT3_L7.g.vcf.gz,AfkE3_EKDN230047577-1A_22FNL2LT3_L7,Afghanistan,Kunar,Kunar,34.8466,71.0973,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfkE4,4.6,18,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkE4/AfkE4_EKDN230047582-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkE4/AfkE4_EKDN230047582-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfkE4_EKDN230047582-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfkE4_EKDN230047582-1A_22FNL2LT3_L7.g.vcf.gz,AfkE4_EKDN230047582-1A_22FNL2LT3_L7,Afghanistan,Kunar,Kunar,34.8466,71.0973,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfkE5,4,19,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkE5/AfkE5_EKDN230047587-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfkE5/AfkE5_EKDN230047587-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfkE5_EKDN230047587-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfkE5_EKDN230047587-1A_22FNL2LT3_L7.g.vcf.gz,AfkE5_EKDN230047587-1A_22FNL2LT3_L7,Afghanistan,Kunar,Kunar,34.8466,71.0973,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
